"Date","Year","X_coord","Y_coord","Year_f","week","month"
1990-01-01,1990,301316.434,4829245.578,"1990",1989-12-31,1990-01-01
1990-01-01,1990,326711.06,4846900.024,"1990",1989-12-31,1990-01-01
1990-01-01,1990,307098.866,4841152.12,"1990",1989-12-31,1990-01-01
1990-01-01,1990,306976.247,4842116.883,"1990",1989-12-31,1990-01-01
1990-01-01,1990,326543.178,4847968.844,"1990",1989-12-31,1990-01-01
1990-01-01,1990,310631.703,4840886.476,"1990",1989-12-31,1990-01-01
1990-01-01,1990,305972.864,4843261.143,"1990",1989-12-31,1990-01-01
1990-01-01,1990,326342.28,4846045.693,"1990",1989-12-31,1990-01-01
1990-01-01,1990,322245.798,4846830.705,"1990",1989-12-31,1990-01-01
1990-01-01,1990,307979.276,4842119.336,"1990",1989-12-31,1990-01-01
1990-01-01,1990,305334.77,4846392.581,"1990",1989-12-31,1990-01-01
1990-01-01,1990,325389.314,4844612.32,"1990",1989-12-31,1990-01-01
1990-01-01,1990,306369.14,4843075.575,"1990",1989-12-31,1990-01-01
1990-01-01,1990,317803.56,4843132.11,"1990",1989-12-31,1990-01-01
1990-01-01,1990,323739.486,4844189.716,"1990",1989-12-31,1990-01-01
1990-01-01,1990,301921.084,4829268.716,"1990",1989-12-31,1990-01-01
1990-01-01,1990,320275.432,4846362.808,"1990",1989-12-31,1990-01-01
1990-01-01,1990,316261.413,4834914.844,"1990",1989-12-31,1990-01-01
1990-01-01,1990,301641.13,4830704.469,"1990",1989-12-31,1990-01-01
1990-01-01,1990,322392.561,4838274.807,"1990",1989-12-31,1990-01-01
1990-01-01,1990,317410.167,4849520.446,"1990",1989-12-31,1990-01-01
1990-01-01,1990,319702.267,4844170.311,"1990",1989-12-31,1990-01-01
1990-01-01,1990,306536.699,4842838.835,"1990",1989-12-31,1990-01-01
1990-01-01,1990,303142.382,4841402.578,"1990",1989-12-31,1990-01-01
1990-01-01,1990,298462.235,4834807.892,"1990",1989-12-31,1990-01-01
1990-01-01,1990,321061.428,4843762.779,"1990",1989-12-31,1990-01-01
1990-01-01,1990,298822.406,4843535.275,"1990",1989-12-31,1990-01-01
1990-01-01,1990,310685.224,4841414.849,"1990",1989-12-31,1990-01-01
1990-01-01,1990,311526.071,4847934.29,"1990",1989-12-31,1990-01-01
1990-01-02,1990,309629.803,4848772.554,"1990",1989-12-31,1990-01-01
1990-01-02,1990,328195.093,4844921.167,"1990",1989-12-31,1990-01-01
1990-01-02,1990,317337.52,4837098.467,"1990",1989-12-31,1990-01-01
1990-01-02,1990,321042.527,4845009.592,"1990",1989-12-31,1990-01-01
1990-01-02,1990,320789.575,4840353.293,"1990",1989-12-31,1990-01-01
1990-01-02,1990,309980.349,4840986.393,"1990",1989-12-31,1990-01-01
1990-01-02,1990,308944.436,4844373.284,"1990",1989-12-31,1990-01-01
1990-01-02,1990,301179.099,4828694.793,"1990",1989-12-31,1990-01-01
1990-01-02,1990,312786.075,4845330.858,"1990",1989-12-31,1990-01-01
1990-01-02,1990,323093.965,4843721.04,"1990",1989-12-31,1990-01-01
1990-01-02,1990,302166.464,4841734.986,"1990",1989-12-31,1990-01-01
1990-01-02,1990,306152.902,4843232.517,"1990",1989-12-31,1990-01-01
1990-01-02,1990,321977.071,4840341.882,"1990",1989-12-31,1990-01-01
1990-01-02,1990,327263.182,4847847.779,"1990",1989-12-31,1990-01-01
1990-01-02,1990,300291.06,4843796.259,"1990",1989-12-31,1990-01-01
1990-01-02,1990,303070.458,4829312.229,"1990",1989-12-31,1990-01-01
1990-01-03,1990,323908.122,4846548.952,"1990",1989-12-31,1990-01-01
1990-01-03,1990,307999.795,4836363.293,"1990",1989-12-31,1990-01-01
1990-01-03,1990,306635.624,4841617.099,"1990",1989-12-31,1990-01-01
1990-01-03,1990,296608.615,4844942.323,"1990",1989-12-31,1990-01-01
1990-01-03,1990,317041.538,4844448.799,"1990",1989-12-31,1990-01-01
1990-01-03,1990,300063.056,4843591.926,"1990",1989-12-31,1990-01-01
1990-01-03,1990,309718.515,4842263.155,"1990",1989-12-31,1990-01-01
1990-01-03,1990,312878.098,4839287.261,"1990",1989-12-31,1990-01-01
1990-01-03,1990,298866.5,4841517.036,"1990",1989-12-31,1990-01-01
1990-01-03,1990,300262.802,4842431.797,"1990",1989-12-31,1990-01-01
1990-01-03,1990,305585.997,4843140.638,"1990",1989-12-31,1990-01-01
1990-01-03,1990,303629.876,4846441.468,"1990",1989-12-31,1990-01-01
1990-01-03,1990,302516.333,4847104.854,"1990",1989-12-31,1990-01-01
1990-01-03,1990,308857.678,4841072.689,"1990",1989-12-31,1990-01-01
1990-01-03,1990,311637.553,4841922.365,"1990",1989-12-31,1990-01-01
1990-01-03,1990,322813.511,4844733.91,"1990",1989-12-31,1990-01-01
1990-01-03,1990,312378.421,4839532.378,"1990",1989-12-31,1990-01-01
1990-01-03,1990,321567.351,4846600.789,"1990",1989-12-31,1990-01-01
1990-01-03,1990,307369.696,4840915.815,"1990",1989-12-31,1990-01-01
1990-01-04,1990,312003.12,4849166.342,"1990",1989-12-31,1990-01-01
1990-01-04,1990,300411.84,4842693.431,"1990",1989-12-31,1990-01-01
1990-01-04,1990,313482.867,4836854.358,"1990",1989-12-31,1990-01-01
1990-01-04,1990,321632.033,4844376.897,"1990",1989-12-31,1990-01-01
1990-01-04,1990,302204.984,4827540.531,"1990",1989-12-31,1990-01-01
1990-01-04,1990,319516.315,4848064.671,"1990",1989-12-31,1990-01-01
1990-01-04,1990,300320.776,4834045.516,"1990",1989-12-31,1990-01-01
1990-01-04,1990,303923.947,4833235.267,"1990",1989-12-31,1990-01-01
1990-01-04,1990,311133.461,4843854.99,"1990",1989-12-31,1990-01-01
1990-01-04,1990,326295.082,4841871.96,"1990",1989-12-31,1990-01-01
1990-01-04,1990,321933.024,4844837.066,"1990",1989-12-31,1990-01-01
1990-01-04,1990,322197.843,4840454.047,"1990",1989-12-31,1990-01-01
1990-01-05,1990,317066.92,4847630.78,"1990",1989-12-31,1990-01-01
1990-01-05,1990,312770.345,4848319.178,"1990",1989-12-31,1990-01-01
1990-01-05,1990,299976.595,4839881.01,"1990",1989-12-31,1990-01-01
1990-01-05,1990,314504.824,4848002.753,"1990",1989-12-31,1990-01-01
1990-01-05,1990,317686.044,4845241.417,"1990",1989-12-31,1990-01-01
1990-01-05,1990,305350.209,4846578.761,"1990",1989-12-31,1990-01-01
1990-01-05,1990,314129.532,4845841.249,"1990",1989-12-31,1990-01-01
1990-01-05,1990,313417.313,4835272.711,"1990",1989-12-31,1990-01-01
1990-01-05,1990,303763.423,4831648.101,"1990",1989-12-31,1990-01-01
1990-01-05,1990,302588.986,4831137.932,"1990",1989-12-31,1990-01-01
1990-01-05,1990,298066.096,4833414.487,"1990",1989-12-31,1990-01-01
1990-01-05,1990,308479.983,4845408.09,"1990",1989-12-31,1990-01-01
1990-01-06,1990,320391.309,4839886.879,"1990",1989-12-31,1990-01-01
1990-01-06,1990,324518.303,4844408.831,"1990",1989-12-31,1990-01-01
1990-01-06,1990,299743.935,4841671.336,"1990",1989-12-31,1990-01-01
1990-01-06,1990,308680.245,4847005.461,"1990",1989-12-31,1990-01-01
1990-01-06,1990,312238.846,4847644.24,"1990",1989-12-31,1990-01-01
1990-01-06,1990,320067.495,4839843.672,"1990",1989-12-31,1990-01-01
1990-01-06,1990,323011.692,4841692.115,"1990",1989-12-31,1990-01-01
1990-01-06,1990,306463.459,4843504.65,"1990",1989-12-31,1990-01-01
1990-01-06,1990,304709.487,4829745.564,"1990",1989-12-31,1990-01-01
1990-01-06,1990,309380.792,4837963.075,"1990",1989-12-31,1990-01-01
1990-01-06,1990,323454.522,4840999.516,"1990",1989-12-31,1990-01-01
1990-01-06,1990,321905.426,4846183.068,"1990",1989-12-31,1990-01-01
1990-01-06,1990,313839.682,4834556.169,"1990",1989-12-31,1990-01-01
1990-01-06,1990,311713.087,4849940.118,"1990",1989-12-31,1990-01-01
1990-01-07,1990,303031.505,4834420.535,"1990",1990-01-07,1990-01-01
1990-01-07,1990,327174.808,4847459.624,"1990",1990-01-07,1990-01-01
1990-01-07,1990,315447.216,4840636.005,"1990",1990-01-07,1990-01-01
1990-01-07,1990,298327.171,4833733.112,"1990",1990-01-07,1990-01-01
1990-01-07,1990,308160.875,4846344.056,"1990",1990-01-07,1990-01-01
1990-01-07,1990,315125.109,4847716.458,"1990",1990-01-07,1990-01-01
1990-01-07,1990,310249.865,4849684.819,"1990",1990-01-07,1990-01-01
