"Station Name","TORONTO"
"Province","ONTARIO"
"Latitude","43.67"
"Longitude","-79.40"
"Elevation","112.50"
"Climate Identifier","6158350"
"WMO Identifier","71266"
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1999-01-01","1999","01","01","","-12.9","","-15.5","","-14.2","","32.2","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"1999-01-02","1999","01","02","","0.6","","-15.5","","-7.5","","25.5","","0.0","","1.0","","38.0","","52.0","","0","T","","","",""
"1999-01-03","1999","01","03","","0.9","","-10.0","","-4.6","","22.6","","0.0","","0.2","","0.4","","0.6","","35","","","","",""
"1999-01-04","1999","01","04","","-7.0","","-10.8","","-8.9","","26.9","","0.0","","0.0","","0.6","","0.2","","29","","","","",""
"1999-01-05","1999","01","05","","-5.6","","-10.0","","-7.8","","25.8","","0.0","","0.0","","0.0","T","0.0","T","27","","","","",""
"1999-01-06","1999","01","06","","-2.4","","-11.9","","-7.2","","25.2","","0.0","","0.0","","2.6","","1.2","","25","","","","",""
"1999-01-07","1999","01","07","","-8.4","","-10.3","","-9.4","","27.4","","0.0","","0.0","","0.0","T","0.0","T","26","","","","",""
"1999-01-08","1999","01","08","","-5.5","","-12.0","","-8.8","","26.8","","0.0","","0.0","","10.0","","8.4","","26","","","","",""
"1999-01-09","1999","01","09","","-3.9","","-6.8","","-5.4","","23.4","","0.0","","0.0","","1.4","","0.6","","34","","","","",""
"1999-01-10","1999","01","10","","-6.7","","-12.2","","-9.5","","27.5","","0.0","","0.0","","0.6","","0.4","","33","","","","",""
"1999-01-11","1999","01","11","","-5.3","","-12.7","","-9.0","","27.0","","0.0","","0.0","","9.4","","6.2","","33","","","","",""
"1999-01-12","1999","01","12","","-3.2","","-11.4","","-7.3","","25.3","","0.0","","0.0","","21.0","","12.8","","40","","","","",""
"1999-01-13","1999","01","13","","-12.7","","-16.6","","-14.7","","32.7","","0.0","","0.0","","0.6","","0.4","","57","","","","",""
"1999-01-14","1999","01","14","","-9.8","","-22.6","","-16.2","","34.2","","0.0","","0.0","","26.6","","16.0","","52","","","","",""
"1999-01-15","1999","01","15","","-2.4","","-15.1","","-8.8","","26.8","","0.0","","0.0","","2.0","","1.4","","65","","","","",""
