STA,lon,lat
1,-79.54295502,43.60513643
2,-79.2276704,43.76373495
3,-79.47127696,43.71231541
4,-79.4727949,43.72099995
5,-79.22971252,43.77336053
6,-79.42744046,43.7099049
7,-79.48524567,43.73130206
8,-79.23228453,43.75605587
9,-79.28313088,43.76322898
10,-79.46034646,43.72101851
11,-79.49316439,43.75948992
12,-79.24417381,43.74318073
13,-79.48032711,43.72963105
14,-79.33839166,43.73002811
15,-79.26467193,43.7394206
16,-79.53546531,43.60534704
17,-79.30761585,43.75906124
18,-79.3577091,43.65608748
19,-79.53894159,43.6182693
20,-79.28158768,43.68621216
21,-79.3431261,43.7875377
22,-79.31479471,43.73933747
23,-79.47824794,43.72749971
24,-79.52037526,43.71457101
25,-79.57837665,43.65518582
26,-79.29793304,43.73564069
27,-79.5740088,43.73374582
28,-79.42677059,43.71466051
29,-79.41625486,43.77333693
30,-79.43980259,43.78089698
31,-79.20932464,43.74587806
32,-79.34431725,43.67572574
33,-79.29813022,43.74686411
34,-79.30140918,43.70495686
35,-79.43552193,43.71080932
36,-79.44835086,43.74130219
37,-79.5446527,43.60017798
38,-79.40064141,43.74989044
39,-79.27270209,43.73521797
40,-79.53248758,43.71756007
41,-79.48301089,43.7310441
42,-79.28667531,43.70482807
43,-79.22077366,43.77224939
44,-79.55577968,43.73610547
45,-79.52122798,43.60574187
46,-79.26249522,43.76065233
47,-79.46012427,43.66920654
48,-79.47702399,43.71650209
49,-79.6015119,43.74638973
50,-79.34782082,43.74189276
51,-79.55860837,43.73426481
52,-79.43875941,43.72230358
53,-79.39958906,43.69548888
54,-79.57343894,43.71557938
55,-79.55611836,43.7238228
56,-79.49004805,43.73021773
57,-79.5143374,43.7599291
58,-79.52816935,43.76589759
59,-79.44945213,43.7115932
60,-79.41494602,43.71922037
61,-79.27614981,43.74434183
62,-79.40578456,43.69770048
63,-79.2915642,43.7611752
64,-79.46791723,43.71018751
65,-79.41031244,43.78442213
66,-79.55427076,43.72617909
67,-79.39212517,43.67358346
68,-79.29083022,43.74115593
69,-79.53194117,43.58979197
70,-79.31699717,43.77439531
71,-79.55532835,43.64833697
72,-79.51066027,43.64105556
73,-79.42117933,43.73662153
74,-79.23303662,43.71848831
75,-79.28707863,43.74529111
76,-79.28393218,43.70583259
77,-79.34743379,43.77053417
78,-79.40079303,43.77678936
79,-79.55964758,43.70086108
80,-79.37925106,43.77392019
81,-79.33979998,43.74901639
82,-79.49297244,43.76116577
83,-79.38395089,43.75446855
84,-79.39296307,43.65934723
85,-79.51264751,43.62676868
86,-79.5271988,43.62217411
87,-79.58326971,43.64263974
88,-79.45411058,43.75061926
89,-79.30636404,43.70076698
90,-79.25499527,43.74137274
91,-79.5625512,43.71697441
92,-79.45161242,43.76499671
93,-79.4074049,43.77071959
94,-79.31038286,43.70038466
95,-79.27379188,43.71695718
96,-79.47915515,43.73349306
97,-79.50092397,43.60964421
98,-79.44298606,43.68359973
99,-79.26832019,43.71071203
100,-79.28737872,43.75740746
101,-79.38773902,43.65289224
102,-79.41390586,43.7913896
103,-79.5217251,43.65172249
104,-79.22188754,43.76875828
105,-79.36769052,43.70759698
106,-79.58003773,43.64551015
107,-79.45806721,43.75904565
108,-79.37155119,43.77133473
109,-79.43208991,43.78910404
110,-79.36723814,43.70640123
111,-79.50405314,43.71593884
112,-79.30796319,43.73376196
113,-79.54873355,43.66404593
114,-79.3797365,43.75691056
115,-79.53474448,43.65983084
116,-79.54250226,43.6937766
117,-79.42793376,43.77534495
118,-79.54700067,43.66036277
119,-79.45303576,43.760135
120,-79.45569994,43.75627454
121,-79.46276122,43.76069189
122,-79.53935117,43.72166901
123,-79.28673563,43.76117323
124,-79.44297889,43.68358241
125,-79.54587588,43.64592945
126,-79.49180802,43.76560833
127,-79.21771276,43.76475638
128,-79.53537304,43.72231466
129,-79.54182671,43.68209182
130,-79.51557724,43.74636281
131,-79.34829657,43.73523484
132,-79.54028156,43.58944854
133,-79.49516288,43.6591033
134,-79.56489274,43.72940104
135,-79.39323768,43.7836015
136,-79.26064118,43.72958948
137,-79.29242134,43.79973532
138,-79.26810179,43.78380853
139,-79.28454442,43.8034877
140,-79.5427384,43.59577856
141,-79.37763697,43.76364467
142,-79.56134714,43.69828061
143,-79.17760259,43.75738371
144,-79.55964349,43.73468716
145,-79.56451897,43.65559221
146,-79.50696687,43.7543614
147,-79.52475827,43.63738262
148,-79.5134217,43.63352713
149,-79.50792603,43.63576778
150,-79.20163781,43.77203207
151,-79.29290341,43.75289929
152,-79.56679875,43.75620726
153,-79.39655502,43.74984454
154,-79.38757265,43.72243552
